вариант;Код;Модель;котел;бойлер;датчик бойлера;доп опция;дымоход;ВМ/ВМ-2;Цоколь;link Pro;MM/MM-2;KM/KM-2
1;101;FGB-K-777;8615845;0;0;279202199;2651955;8908316;1731129;8908675;8908493;8908494
2;101;FGG-K-24;2485092;0;0;0;2651953;0;2734000;0;0;0
1;102;FGB-24;K8615844001;0;0;0;0;8908316;1731129;8908675;8908493;8908494
2;102;CGS-2-20;8615218;0;0;0;2651955;8908316;1731129;8908674;8908493;8908494
1;103;FGB-24;8615844;8908597;8852829;279202199;2651955;8908316;1731129;8908675;8908493;8908494
2;103;CGB-2-20;8615211;8908597;8852829;0;2651955;8908316;1731129;8908674;8908493;8908494
1;151;FGB-K-24;8615845;0;0;279202199;2651955;8908316;1731129;8908675;8908493;8908494
2;151;CGG-3K-24;K8615711001;0;0;0;0;0;8908316;1731129;8908493;8908494
1;152;FGB-24;K8615844001;0;0;0;0;8908316;1731129;8908675;8908493;8908494
2;152;CGS-2-24;8615220;0;0;0;2651955;8908316;1731129;8908674;8908493;8908494
1;153;FGB-24;8615844;8908597;8852829;279202199;2651955;8908316;1731129;8908675;8908493;8908494
2;153;CGB-2-24;8615213;8908597;8852829;0;2651955;8908316;1731129;8908674;8908493;8908494
1;201;FGB-K-28;8615350;0;0;279202199;2651955;8908316;1731129;8908675;8908493;8908494
2;201;CGG-3K-28;K8615711002;0;0;0;0;0;8908316;1731129;8908493;8908494
1;202;FGB-28;K8614804001;0;0;0;0;8908316;1731129;8908675;8908493;8908494
1;203;FGB-28;8615351;8908597;8852829;279202199;2651955;8908316;1731129;8908675;8908493;8908494
1;281;FGB-K-35;8615352;0;0;279202199;2651955;8908316;1731129;8908675;8908493;8908494
1;282;FGB-35;K8614806001;0;0;0;0;8908316;1731129;8908675;8908493;8908494
1;283;FGB-35;K8614806002;0;0;0;0;8908316;1731129;8908675;8908493;8908494
1;411;СGB-50;K8614758004;8908593;0;0;2651495;8905359;2744275;8908675;8905376;8906335
1;412;СGB-50;K8614758003;8602187;0;0;2651495;8905359;2744275;8908675;8905376;8906335
1;413;СGB-50;K8614758001;8602187;0;0;2651495;8905359;2744275;8908675;8905376;8906335
1;651;CGB-75;8613684;8908593;279905499;2071931;2651558;8905359;2744275;8908675;8905376;8906335
1;652;CGB-75;8613684;8908595;279905499;2071931;2651558;8905359;2744275;8908675;8905376;8906335
1;653;CGB-75;8613684;8908597;279905499;2071931;2651558;8905359;2744275;8908675;8905376;8906335
1;851;CGB-100;8613685;8908593;279905499;2071931;2651558;8905359;2744275;8908675;8905376;8906335
1;852;CGB-100;8613685;8908595;279905499;2071931;2651558;8905359;2744275;8908675;8905376;8906335
1;853;CGB-100;8613685;8908597;279905499;2071931;2651558;8905359;2744275;8908675;8905376;8906335